RunNum,GCD,LiveTime
119320,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119320_0104_2_20_GCD_update_rde.i3.zst,28800.11
119330,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119330_0106_2_20_GCD_update_rde.i3.zst,14199.67
119340,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119340_0107_2_20_GCD_update_rde.i3.zst,28800.13
119350,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119350_0110_2_20_GCD_update_rde.i3.zst,13592.57
119380,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119380_0114_2_20_GCD_update_rde.i3.zst,4721.98
119430,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119430_0118_3_20_GCD_update_rde.i3.zst,13100.38
119450,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119450_0119_3_20_GCD_update_rde.i3.zst,28800.23
119470,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119470_0123_3_20_GCD_update_rde.i3.zst,28799.96
119490,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119490_0126_3_20_GCD_update_rde.i3.zst,28800.34
119510,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119510_0130_3_20_GCD_update_rde.i3.zst,28799.64
119520,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119520_0201_3_20_GCD_update_rde.i3.zst,940.46
119590,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119590_0207_3_20_GCD_update_rde.i3.zst,28799.79
119600,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119600_0211_3_20_GCD_update_rde.i3.zst,28799.55
119610,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119610_0214_3_20_GCD_update_rde.i3.zst,28800.43
119650,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119650_0218_3_20_GCD_update_rde.i3.zst,2307.77
119660,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119660_0219_3_20_GCD_update_rde.i3.zst,28799.87
119670,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119670_0220_3_20_GCD_update_rde.i3.zst,28799.83
119680,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119680_0224_3_20_GCD_update_rde.i3.zst,20553.47
119730,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119730_0229_3_20_GCD_update_rde.i3.zst,5524.12
119740,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119740_0301_3_20_GCD_update_rde.i3.zst,28799.82
119750,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119750_0305_3_20_GCD_update_rde.i3.zst,28799.92
119760,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119760_0308_3_20_GCD_update_rde.i3.zst,28799.76
119820,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119820_0315_3_20_GCD_update_rde.i3.zst,28799.97
119830,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119830_0319_3_20_GCD_update_rde.i3.zst,28799.82
